1000, 10000, 10000
6, 90, 49
44, 67, 896
83, 15, 120
97, 24, 465
14, 36, 741
86, 42, 915
99, 44, 930
40, 71, 71
68, 38, 231
83, 14, 807
82, 19, 597
20, 60, 690
96, 43, 360
24, 40, 33
66, 51, 419
32, 38, 170
81, 37, 626
20, 76, 489
70, 42, 581
12, 24, 927
78, 4, 332
36, 23, 355
57, 19, 308
93, 43, 570
51, 9, 90
46, 38, 199
78, 19, 469
55, 36, 2
4, 7, 277
87, 16, 622
84, 92, 175
1, 26, 701
75, 82, 99
94, 73, 922
51, 24, 201
57, 67, 112
3, 46, 291
82, 98, 947
38, 99, 591
34, 86, 452
52, 69, 336
72, 67, 278
16, 42, 530
76, 34, 610
79, 83, 111
88, 40, 889
38, 41, 833
4, 23, 849
3, 59, 147
9, 92, 23
26, 42, 125
35, 14, 784
69, 30, 355
83, 4, 146
71, 83, 163
83, 71, 776
60, 7, 186
82, 8, 297
1, 11, 391
19, 17, 464
24, 40, 575
92, 74, 463
29, 43, 265
6, 26, 79
14, 97, 546
5, 78, 867
33, 38, 153
3, 18, 132
90, 18, 32
39, 37, 163
77, 58, 976
57, 50, 527
51, 77, 92
70, 82, 637
93, 95, 56
98, 97, 457
71, 30, 168
51, 30, 302
38, 20, 147
33, 56, 129
42, 33, 427
88, 88, 447
11, 37, 973
73, 8, 80
61, 1, 910
45, 96, 628
6, 68, 728
1, 19, 676
14, 54, 208
41, 84, 992
5, 26, 933
26, 12, 604
95, 22, 748
39, 94, 69
65, 55, 643
83, 99, 19
97, 4, 498
41, 4, 235
14, 15, 360
3, 54, 623
48, 58, 187
26, 82, 27
89, 77, 669
87, 14, 643
93, 76, 148
96, 58, 677
94, 55, 687
60, 95, 346
42, 7, 954
75, 10, 98
94, 55, 622
35, 80, 235
86, 67, 102
61, 54, 196
26, 45, 317
46, 42, 374
65, 36, 714
83, 94, 628
5, 34, 947
38, 10, 162
26, 2, 981
71, 35, 59
98, 21, 278
1, 80, 825
14, 6, 50
4, 51, 314
51, 14, 636
53, 96, 232
48, 98, 616
50, 37, 587
58, 62, 49
20, 31, 342
60, 29, 56
68, 27, 297
26, 38, 427
28, 42, 873
70, 92, 471
48, 46, 186
18, 93, 365
19, 41, 399
30, 97, 667
40, 17, 229
84, 76, 318
49, 42, 36
92, 67, 577
41, 93, 697
38, 63, 51
47, 9, 787
53, 24, 535
55, 42, 961
93, 69, 508
91, 9, 875
20, 90, 840
76, 38, 963
55, 30, 505
73, 68, 516
32, 4, 747
80, 49, 116
72, 99, 571
55, 54, 449
79, 45, 616
1, 36, 560
36, 55, 901
48, 29, 135
99, 83, 119
16, 54, 436
26, 83, 960
97, 61, 162
76, 31, 944
77, 86, 392
19, 63, 184
30, 62, 705
49, 97, 622
56, 43, 252
2, 40, 910
73, 56, 331
12, 81, 774
53, 76, 445
41, 50, 413
30, 28, 930
70, 46, 396
55, 75, 880
73, 22, 977
44, 76, 963
43, 77, 803
23, 48, 282
56, 59, 72
71, 12, 919
48, 52, 942
53, 79, 148
44, 47, 983
97, 99, 786
14, 72, 114
25, 14, 306
76, 56, 497
68, 78, 806
16, 33, 387
40, 4, 919
41, 49, 563
89, 99, 264
65, 43, 130
82, 41, 65
75, 52, 334
90, 76, 717
78, 50, 464
44, 19, 767
55, 32, 394
27, 72, 836
7, 11, 822
39, 97, 200
48, 62, 619
4, 44, 756
59, 18, 492
85, 6, 241
25, 83, 965
20, 25, 470
93, 79, 473
97, 5, 607
6, 9, 948
60, 45, 720
14, 92, 788
11, 96, 136
46, 53, 549
31, 38, 860
91, 62, 95
1, 82, 29
27, 73, 907
85, 71, 117
14, 74, 575
52, 34, 285
85, 47, 70
80, 56, 217
16, 2, 72
69, 33, 404
27, 22, 214
67, 20, 401
30, 47, 14
72, 30, 883
15, 44, 128
66, 93, 287
62, 77, 998
48, 55, 162
31, 70, 251
64, 38, 758
35, 64, 643
68, 29, 869
79, 58, 346
66, 29, 826
21, 43, 354
50, 7, 158
10, 66, 396
15, 15, 856
75, 45, 392
38, 7, 834
28, 41, 481
40, 8, 707
72, 86, 261
48, 52, 485
54, 71, 777
2, 19, 433
41, 26, 453
56, 41, 908
27, 16, 734
68, 51, 2
46, 79, 115
86, 19, 723
52, 90, 790
78, 37, 768
31, 88, 539
25, 88, 512
23, 27, 411
88, 82, 235
67, 10, 582
87, 75, 983
17, 19, 917
84, 3, 27
57, 55, 897
18, 33, 877
27, 62, 74
7, 84, 557
5, 7, 205
27, 92, 131
88, 57, 192
66, 45, 779
95, 59, 447
1, 41, 674
25, 97, 170
40, 13, 912
88, 38, 386
24, 44, 368
47, 47, 572
96, 71, 607
29, 59, 383
67, 26, 632
79, 19, 357
12, 17, 827
44, 42, 48
32, 81, 526
50, 67, 32
28, 91, 821
89, 38, 406
55, 33, 197
13, 61, 147
26, 26, 557
81, 5, 411
93, 14, 626
44, 56, 946
89, 87, 988
48, 35, 910
41, 62, 224
78, 51, 485
58, 6, 616
11, 16, 467
21, 40, 510
53, 19, 963
5, 13, 553
72, 54, 392
79, 44, 368
65, 91, 393
20, 30, 290
62, 7, 988
40, 64, 217
50, 73, 863
21, 93, 29
15, 46, 344
14, 48, 885
25, 18, 480
90, 96, 611
44, 61, 368
29, 79, 656
76, 39, 860
71, 78, 105
72, 28, 22
88, 46, 321
42, 60, 715
14, 72, 898
98, 96, 213
35, 86, 325
15, 28, 221
83, 57, 531
81, 33, 479
84, 4, 986
53, 73, 669
92, 61, 993
23, 1, 907
96, 15, 654
21, 11, 506
61, 45, 292
95, 57, 662
90, 40, 727
61, 19, 496
69, 3, 956
56, 53, 327
65, 43, 187
23, 63, 285
36, 60, 245
23, 78, 109
4, 39, 918
70, 34, 441
65, 23, 325
15, 83, 226
96, 52, 443
78, 6, 79
33, 71, 156
46, 91, 992
60, 27, 743
86, 47, 587
23, 50, 173
2, 20, 108
37, 85, 767
8, 99, 964
97, 94, 178
89, 70, 832
30, 1, 315
12, 46, 900
57, 5, 933
61, 88, 349
42, 10, 371
62, 11, 291
14, 46, 490
87, 51, 695
42, 48, 120
46, 37, 439
56, 65, 979
37, 76, 365
7, 33, 162
3, 92, 770
43, 34, 860
35, 95, 787
45, 9, 992
39, 93, 800
29, 33, 154
13, 79, 216
62, 35, 64
14, 70, 290
10, 76, 888
7, 77, 601
92, 20, 733
85, 53, 178
89, 97, 321
34, 34, 88
32, 61, 3
76, 73, 963
57, 34, 521
1, 47, 707
18, 54, 141
68, 61, 37
11, 51, 181
87, 37, 224
55, 24, 176
33, 55, 963
1, 87, 564
4, 63, 815
84, 18, 155
98, 18, 561
82, 35, 120
41, 4, 709
77, 12, 100
32, 96, 152
39, 51, 652
41, 82, 32
77, 82, 89
71, 85, 977
39, 68, 913
40, 66, 397
86, 47, 998
86, 87, 45
47, 62, 136
56, 94, 285
1, 31, 390
65, 70, 489
85, 45, 388
90, 16, 653
58, 55, 684
41, 92, 720
41, 78, 469
74, 64, 789
8, 9, 437
53, 63, 591
95, 63, 475
86, 26, 265
59, 10, 361
14, 99, 890
54, 58, 105
60, 96, 439
33, 38, 893
51, 12, 585
57, 17, 943
23, 70, 348
82, 65, 669
68, 49, 559
27, 8, 487
27, 21, 260
41, 73, 416
10, 33, 743
69, 65, 483
5, 17, 789
2, 71, 707
8, 93, 371
76, 73, 784
6, 41, 337
59, 65, 954
21, 90, 587
82, 31, 326
99, 39, 854
14, 8, 610
62, 10, 626
23, 11, 129
97, 19, 273
42, 92, 649
51, 96, 733
7, 53, 788
69, 73, 895
52, 56, 944
7, 53, 476
93, 66, 211
45, 29, 760
12, 49, 147
48, 46, 595
78, 87, 453
76, 36, 825
16, 42, 553
21, 11, 841
13, 60, 669
36, 64, 452
97, 57, 650
64, 1, 748
40, 12, 535
25, 59, 436
25, 35, 259
16, 10, 69
3, 25, 639
40, 43, 206
51, 56, 75
