60, 600, 600
98, 96, 41
67, 67, 4
46, 72, 30
56, 33, 55
25, 25, 6
1, 56, 5
77, 25, 43
97, 90, 17
92, 38, 41
15, 47, 47
73, 44, 37
46, 11, 28
18, 57, 55
64, 13, 23
36, 37, 55
82, 36, 47
81, 11, 40
59, 9, 49
71, 98, 44
1, 14, 31
97, 86, 50
90, 30, 2
51, 45, 19
78, 8, 56
41, 41, 8
27, 24, 28
67, 3, 54
31, 61, 50
84, 31, 50
76, 29, 52
15, 27, 12
92, 17, 26
80, 65, 41
24, 44, 37
77, 82, 5
67, 9, 12
91, 76, 11
26, 5, 42
66, 89, 2
5, 65, 57
55, 77, 14
90, 69, 27
54, 47, 16
63, 70, 29
78, 47, 37
35, 13, 38
13, 4, 17
93, 27, 17
33, 92, 30
1, 94, 45
94, 49, 37
16, 38, 59
51, 91, 49
49, 52, 31
91, 31, 7
16, 65, 41
48, 78, 50
55, 69, 24
66, 99, 20
64, 97, 29
